api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507327190,36.0886401,-97.9221657,KINGFISHER,BUZZARD 1907 1-26D,1-26D,BLAKE PRODUCTION,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327189,36.102942,-97.953131,KINGFISHER,HOOTER 1907 1-21D,1-21D,BLAKE PRODUCTION,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327188,36.100641,-97.919444,KINGFISHER,ALBATROSS 1907 1-26D,1-26D,BLAKE PRODUCTION,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327187,36.078464,-97.954767,KINGFISHER,RAVEN 1907 1-33D,1-33D,BLAKE PRODUCTION,OIL & GAS-DRILLING,DRILLING,OIL & GAS
3507327186,36.074335,-97.937647,KINGFISHER,FALCON 1907 1-34D,1-34D,BLAKE PRODUCTION,OIL & GAS-DUC,DUC,OIL & GAS
3507327185,35.756654,-97.841675,KINGFISHER,EMMA 1506 2H-28X,2H-28X,OVINTIV,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327184,35.765544,-97.841676,KINGFISHER,EMMA 1506 3H-28X,3H-28X,OVINTIV,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327183,35.9552301,-97.76266,KINGFISHER,LINCOLN SOUTHEAST OSWEGO UNIT 28-3HO,28-3HO,MACH NATURAL RESOURCES LP,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327182,35.955291,-97.76266,KINGFISHER,LINCOLN SOUTHEAST OSWEGO UNIT 27-5HO,27-5HO,MACH NATURAL RESOURCES LP,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327181,35.858576,-97.882732,KINGFISHER,APACHE 1606 3H-19XX,3H-19XX,OVINTIV,OIL & GAS-DUC,DUC,OIL & GAS
3507327179,35.858576,-97.8829,KINGFISHER,WHEELER 1606 3H-6XX,3H-6XX,OVINTIV,OIL & GAS-DUC,DUC,OIL & GAS
3507327178,35.858577,-97.882985,KINGFISHER,WHEELER 1606 2H-6XX,2H-6XX,OVINTIV,OIL & GAS-DRILLING,DRILLING,OIL & GAS
3507327180,35.858576,-97.882816,KINGFISHER,APACHE 1606 2H-19XX,2H-19XX,OVINTIV,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
3507327177,36.016139,-97.868502,KINGFISHER,KEVIN 29-18-6 5HO,5HO,MACH NATURAL RESOURCES LP,OIL & GAS-COMPLETED,COMPLETED,OIL & GAS
3507327176,35.755293,-98.0735,KINGFISHER,EVELYN 20_17-15N-8W 3HX,3HX,DEVON,OIL & GAS-PERMITTED,PERMITTED,OIL & GAS
