api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3504721273,36.164028,-97.950539,KINGFISHER,BULLIS,#1,CENTAUR RESOURCES INC,OIL,AC,OIL
3507300001,35.847337,-97.756174,KINGFISHER,SHUTTLER,#1,BCE-MACH III LLC,OIL,AC,OIL
3507300002,35.950637,-97.776341,KINGFISHER,ROBERT FINLEY,#24-1,BCE-MACH III LLC,OIL,AC,OIL
3507300004,36.0306941,-97.9317028,KINGFISHER,J W MYERS,#1,EXXON MOBIL CORPORATION,PLUGGED,PA,OIL
3507300005,35.93908,-97.77015,KINGFISHER,LSEO(WM ASH)1,#47-1,BCE-MACH III LLC,OIL,AC,OIL
3507300006,36.0125635,-97.9406246,KINGFISHER,WELLS,#1,EXXON MOBIL CORPORATION,PLUGGED,PA,OIL
3507300007,36.1285867,-97.8381135,KINGFISHER,SCHIMANEK,#1,JONES & PELLOW OIL CO,PLUGGED,PA,INJ
3507300009,35.8883606,-97.9033589,KINGFISHER,PETER MUEGGENBORG,#1,MAGNOLIA PETROLEUM LTD,PLUGGED,PA,DRY
3507300010,35.9987819,-97.6810253,KINGFISHER,SMITH,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300011,35.760513,-97.98792,KINGFISHER,GRUMMER,#1,FAULCONER ENERGY LLC,GAS,AC,GAS
3507300012,36.0785517,-97.6810314,KINGFISHER,RACHEL ELROD,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300013,36.024722,-97.68103,KINGFISHER,ECLSU  (OLTMANNS 1),#1-1,SPESS OIL COMPANY INC,OIL,AC,OIL
3507300016,35.9790091,-97.966234,KINGFISHER,O A WILLSON,#1,AMBASSADOR OIL CORPORATION,PLUGGED,PA,DRY
3507300018,35.9627124,-97.9105263,KINGFISHER,KINGFISHER UNIT,#2-11,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300019,35.9915607,-97.6943896,KINGFISHER,KOCK,#1,BIG CHIEF DRILLING CO,PLUGGED,PA,NT
3507300020,36.063072,-98.15008,KINGFISHER,HILL,#1,WLW OIL & GAS LLC,DRY,AC,DRY
3507300021,35.9327986,-97.9138686,KINGFISHER,PERDUE,#1,OKLAHOMA PLUGGING & EQUIP INC,PLUGGED,PA,OIL
3507300022,36.1392513,-98.136732,KINGFISHER,STURGEON,#1,OXY USA INC,PLUGGED,PA,DRY
3507300023,35.9545537,-97.9183287,KINGFISHER,GAZIN R C,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300025,36.012537,-97.98518,KINGFISHER,HOBBS,#1,ALLIED MATERIALS CORP,PLUGGED,PA,DRY
3507300026,36.0494369,-98.1667854,KINGFISHER,P C SMITH,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
